"DBH","Flower","Abb"
5.1,1,"Au.ja"
5.5,1,"Au.ja"
5.4,1,"Au.ja"
19.6,1,"Eu.ja"
31.4,1,"Ne.ac"
4.6,1,"Au.ja"
4.1,1,"Au.ja"
12.9,1,"Eu.ja"
14.1,0,"Il.an"
31.3,1,"Ne.ac"
14.5,1,"Ce.ha"
33.3,1,"Ne.ac"
9.3,0,"Il.an"
7,1,"Au.ja"
11.2,0,"Il.an"
5.6,1,"Au.ja"
36.6,1,"Ne.ac"
11.7,0,"Il.an"
10.1,0,"Il.an"
37.1,1,"Ne.ac"
37.3,1,"Ne.ac"
14.1,1,"Il.an"
15.1,1,"Ce.ha"
16.5,0,"Ce.ha"
13.5,0,"Ce.ha"
5,1,"Au.ja"
31.7,1,"Ne.ac"
34.2,1,"Ne.ac"
35.4,1,"Ne.ac"
36,1,"Ne.ac"
12.2,0,"Il.an"
33.1,1,"Ne.ac"
33.4,1,"Ne.ac"
5.1,1,"Au.ja"
5.6,1,"Au.ja"
5.9,1,"Au.ja"
34.9,1,"Ne.ac"
5.3,1,"Au.ja"
5,1,"Au.ja"
4.2,1,"Au.ja"
4.4,0,"Au.ja"
39.2,1,"Ne.ac"
32.9,1,"Ne.ac"
4.9,0,"Au.ja"
4.3,1,"Au.ja"
4.7,1,"Au.ja"
4.9,1,"Au.ja"
6,1,"Au.ja"
33.4,1,"Ne.ac"
4.3,0,"Au.ja"
38.3,1,"Ne.ac"
13.9,1,"Eu.ja"
45.5,1,"Ne.ac"
53.1,1,"Ne.ac"
4.8,1,"Au.ja"
5,1,"Au.ja"
61.3,1,"Ne.ac"
12.2,0,"Il.an"
17.6,0,"Ce.ha"
10.4,0,"Il.an"
11.5,0,"Il.an"
35.2,1,"Ne.ac"
5.2,1,"Au.ja"
4.9,1,"Au.ja"
5.2,1,"Au.ja"
8.6,0,"Il.an"
34.3,1,"Ne.ac"
35.3,1,"Ne.ac"
45.4,1,"Ne.ac"
35.4,1,"Ne.ac"
11.6,0,"Il.an"
14.2,0,"Il.an"
41.2,1,"Ne.ac"
38.6,1,"Ne.ac"
9.4,0,"Il.an"
36.4,1,"Ne.ac"
10.2,0,"Il.an"
11,0,"Il.an"
10.2,0,"Il.an"
5.1,1,"Au.ja"
8.2,1,"Au.ja"
17.2,1,"Eu.ja"
32.3,1,"Ne.ac"
14.9,0,"Ce.ha"
31.4,1,"Ne.ac"
39.7,1,"Ne.ac"
5.2,0,"Au.ja"
11.3,0,"Il.an"
5,1,"Au.ja"
35.3,1,"Ne.ac"
9.2,0,"Il.an"
5.1,1,"Au.ja"
26.6,0,"Ce.ha"
6.3,0,"Au.ja"
5.2,1,"Au.ja"
31.3,1,"Ne.ac"
30.7,1,"Ne.ac"
5,1,"Au.ja"
33.5,1,"Ne.ac"
34.1,1,"Ne.ac"
5.2,1,"Au.ja"
5.2,1,"Au.ja"
31,1,"Ne.ac"
4.9,1,"Au.ja"
12.5,0,"Il.an"
5.2,1,"Au.ja"
4.6,0,"Au.ja"
8.9,0,"Il.an"
14.9,0,"Ce.ha"
17.3,1,"Eu.ja"
11.1,0,"Il.an"
36.9,1,"Ne.ac"
15.5,0,"Il.an"
8.9,0,"Il.an"
12.2,0,"Il.an"
4.8,1,"Au.ja"
45.7,1,"Ne.ac"
10.3,0,"Il.an"
34.8,1,"Ne.ac"
8.4,0,"Il.an"
34.2,1,"Ne.ac"
10.3,0,"Il.an"
8.5,1,"Il.an"
8.7,0,"Il.an"
15.9,0,"Ce.ha"
10.6,0,"Il.an"
18.2,0,"Ce.ha"
8.7,0,"Il.an"
13.1,0,"Il.an"
7.1,1,"Il.an"
7.8,0,"Li.pr"
6.6,0,"Li.pr"
7.7,1,"Li.pr"
10,0,"Li.pr"
9.4,0,"Li.pr"
8.7,1,"Li.pr"
7,1,"Li.pr"
6.9,0,"Li.pr"
5.4,0,"Il.an"
5.4,1,"Li.pr"
7.9,1,"Li.pr"
6.5,1,"Li.pr"
6.4,1,"Li.pr"
5,0,"Li.pr"
5.4,1,"Li.pr"
5.3,1,"Li.pr"
4.5,0,"Li.pr"
11.5,0,"Il.an"
9,0,"Il.an"
6,0,"Il.an"
5.8,0,"Il.an"
19.7,1,"Il.an"
6.7,0,"Li.pr"
13.9,0,"Il.an"
9.1,1,"Ne.ac"
5.9,0,"Il.an"
4.9,0,"Il.an"
8,0,"Il.an"
6.1,0,"Il.an"
6.9,0,"Il.an"
5.8,0,"Il.an"
4.8,0,"Il.an"
5.3,0,"Li.pr"
5.2,0,"Li.pr"
6.1,0,"Il.an"
6.8,0,"Li.pr"
9.1,1,"Li.pr"
9.3,1,"Li.pr"
5.7,0,"Li.pr"
8.6,0,"Li.pr"
6.4,1,"Li.pr"
5.5,1,"Li.pr"
5.8,1,"Li.pr"
7.2,0,"Il.an"
17.5,0,"Il.an"
5.2,0,"Il.an"
17.3,1,"Il.an"
8.9,0,"Il.an"
7.2,0,"Il.an"
5,0,"Ce.in"
10.6,0,"Il.an"
6.9,0,"Il.an"
6.7,0,"Il.an"
17.3,0,"Il.an"
5.3,0,"Il.an"
6.1,0,"Il.an"
4.8,0,"Il.an"
6.9,1,"Il.an"
5.4,1,"Li.pr"
4.7,1,"Li.pr"
5.5,1,"Il.an"
11.4,1,"Li.pr"
